run_id,test_id,scenario_id,avg_cpu_percent,peak_cpu_percent,avg_memory_mb,peak_memory_mb,avg_power_watts,peak_power_watts,energy_joules,energy_wh,idle_energy_joules,net_energy_joules,carbon_intensity_g_per_kwh,estimated_carbon_gco2,measurement_source,measurement_notes,samples_collected
R000001,T001,S001,44.6,70.5,10465.374,10516.195,35.638,49.365,77.2788,0.021466,26.0213,51.2576,400.0,0.008587,cpu_tdp_estimation,samples=3; target=system-wide,3
R000002,T001,S001,21.35,42.7,9870.045,9874.996,23.3155,34.631,37.0523,0.010292,19.07,17.9823,400.0,0.004117,cpu_tdp_estimation,samples=2; target=system-wide,2
R000003,T001,S001,15.2,30.4,9843.195,9850.25,20.056,28.112,28.3732,0.007881,16.9764,11.3968,400.0,0.003153,cpu_tdp_estimation,samples=2; target=system-wide,2
R000004,T001,S001,14.35,28.7,9831.27,9835.199,19.6055,27.211,27.6289,0.007675,16.9109,10.718,400.0,0.00307,cpu_tdp_estimation,samples=2; target=system-wide,2
R000005,T001,S001,15.5,31.0,9837.334,9851.133,20.215,28.43,28.1516,0.00782,16.7113,11.4403,400.0,0.003128,cpu_tdp_estimation,samples=2; target=system-wide,2
R000006,T001,S001,15.25,30.5,9832.611,9840.004,20.0825,28.165,28.3215,0.007867,16.9231,11.3984,400.0,0.003147,cpu_tdp_estimation,samples=2; target=system-wide,2
R000007,T001,S001,15.5,31.0,9826.648,9833.879,20.215,28.43,28.4431,0.007901,16.8844,11.5588,400.0,0.00316,cpu_tdp_estimation,samples=2; target=system-wide,2
R000008,T001,S001,15.05,30.1,9834.465,9847.82,19.9765,27.953,28.4918,0.007914,17.1152,11.3766,400.0,0.003166,cpu_tdp_estimation,samples=2; target=system-wide,2
R000009,T001,S001,16.05,32.1,9835.012,9847.465,20.5065,29.013,28.9064,0.00803,16.9154,11.9909,400.0,0.003212,cpu_tdp_estimation,samples=2; target=system-wide,2
R000010,T001,S001,16.5,33.0,9832.809,9843.402,20.745,29.49,28.8875,0.008024,16.7101,12.1775,400.0,0.00321,cpu_tdp_estimation,samples=2; target=system-wide,2
R000011,T001,S001,17.5,35.0,9827.541,9831.711,21.275,30.55,30.2477,0.008402,17.061,13.1867,400.0,0.003361,cpu_tdp_estimation,samples=2; target=system-wide,2
R000012,T002,S002,16.5,33.0,9822.086,9835.66,20.745,29.49,28.543,0.007929,16.5108,12.0322,400.0,0.003171,cpu_tdp_estimation,samples=2; target=system-wide,2
R000013,T002,S002,16.35,32.7,9826.002,9835.777,20.6655,29.331,29.4006,0.008167,17.0723,12.3283,400.0,0.003267,cpu_tdp_estimation,samples=2; target=system-wide,2
R000014,T002,S002,15.95,31.9,9831.35,9845.422,20.4535,28.907,28.8986,0.008027,16.9547,11.9439,400.0,0.003211,cpu_tdp_estimation,samples=2; target=system-wide,2
R000015,T002,S002,15.9,31.8,9737.08,9747.523,20.427,28.854,28.7013,0.007973,16.8608,11.8405,400.0,0.003189,cpu_tdp_estimation,samples=2; target=system-wide,2
R000016,T002,S002,15.75,31.5,9743.98,9758.246,20.3475,28.695,28.1866,0.00783,16.6232,11.5635,400.0,0.003132,cpu_tdp_estimation,samples=2; target=system-wide,2
