2026-07-20T14:46:53 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T14:46:53 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T14:46:53 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2020.3\bin\fgfs.exe
2026-07-20T14:46:53 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T14:46:53 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (0 already completed, resuming).
2026-07-20T14:46:53 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=1 run_id=R000001
2026-07-20T14:46:53 | INFO     | executor | Starting run_id=R000001 test_id=T001 scenario_id=S001 attempt=1
2026-07-20T14:46:55 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T14:47:00 | WARNING  | run_pipeline | Pipeline interrupted by user. Progress has been saved; re-run to resume.
2026-07-20T14:47:24 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T14:47:24 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T14:47:24 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2020.3\bin\fgfs.exe
2026-07-20T14:47:24 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T14:47:24 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (0 already completed, resuming).
2026-07-20T14:47:24 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=1 run_id=R000002
2026-07-20T14:47:24 | INFO     | executor | Starting run_id=R000002 test_id=T001 scenario_id=S001 attempt=1
2026-07-20T14:47:25 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T14:47:35 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=2 run_id=R000003
2026-07-20T14:47:35 | INFO     | executor | Starting run_id=R000003 test_id=T001 scenario_id=S001 attempt=2
2026-07-20T14:47:37 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T14:47:47 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=3 run_id=R000004
2026-07-20T14:47:47 | INFO     | executor | Starting run_id=R000004 test_id=T001 scenario_id=S001 attempt=3
2026-07-20T14:47:48 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T14:47:58 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=4 run_id=R000005
2026-07-20T14:47:58 | INFO     | executor | Starting run_id=R000005 test_id=T001 scenario_id=S001 attempt=4
2026-07-20T14:47:59 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T14:48:09 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=5 run_id=R000006
2026-07-20T14:48:09 | INFO     | executor | Starting run_id=R000006 test_id=T001 scenario_id=S001 attempt=5
2026-07-20T14:48:11 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=5 returned 'crash'; will retry.
2026-07-20T14:48:21 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=6 run_id=R000007
2026-07-20T14:48:21 | INFO     | executor | Starting run_id=R000007 test_id=T001 scenario_id=S001 attempt=6
2026-07-20T14:48:22 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=6 returned 'crash'; will retry.
2026-07-20T14:48:32 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=7 run_id=R000008
2026-07-20T14:48:32 | INFO     | executor | Starting run_id=R000008 test_id=T001 scenario_id=S001 attempt=7
2026-07-20T14:48:34 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=7 returned 'crash'; will retry.
2026-07-20T14:48:44 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=8 run_id=R000009
2026-07-20T14:48:44 | INFO     | executor | Starting run_id=R000009 test_id=T001 scenario_id=S001 attempt=8
2026-07-20T14:48:45 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=8 returned 'crash'; will retry.
2026-07-20T14:48:55 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=9 run_id=R000010
2026-07-20T14:48:55 | INFO     | executor | Starting run_id=R000010 test_id=T001 scenario_id=S001 attempt=9
2026-07-20T14:48:56 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=9 returned 'crash'; will retry.
2026-07-20T14:49:06 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=10 run_id=R000011
2026-07-20T14:49:06 | INFO     | executor | Starting run_id=R000011 test_id=T001 scenario_id=S001 attempt=10
2026-07-20T14:49:08 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=10 returned 'crash'; will retry.
2026-07-20T14:49:18 | ERROR    | experiment_runner | scenario=S001 run_no=1 exhausted 10 attempts without a usable outcome.
2026-07-20T14:49:28 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=1 run_id=R000012
2026-07-20T14:49:28 | INFO     | executor | Starting run_id=R000012 test_id=T002 scenario_id=S002 attempt=1
2026-07-20T14:49:29 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T14:49:39 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=2 run_id=R000013
2026-07-20T14:49:39 | INFO     | executor | Starting run_id=R000013 test_id=T002 scenario_id=S002 attempt=2
2026-07-20T14:49:41 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T14:49:51 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=3 run_id=R000014
2026-07-20T14:49:51 | INFO     | executor | Starting run_id=R000014 test_id=T002 scenario_id=S002 attempt=3
2026-07-20T14:49:52 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T14:50:02 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=4 run_id=R000015
2026-07-20T14:50:02 | INFO     | executor | Starting run_id=R000015 test_id=T002 scenario_id=S002 attempt=4
2026-07-20T14:50:04 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T14:50:14 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=5 run_id=R000016
